Time,OWD
77.29469,129.712
77.294691,128.506
77.294769,127.377
77.294769,126.169
77.29477,124.963
77.301581,130.567
77.301582,128.758
77.301583,127.551
77.301583,126.344
77.301627,125.181
77.314938,137.284
77.314939,136.079
77.314939,134.871
77.31494,133.665
77.31494,132.458
77.314941,131.251
77.314941,130.045
77.314941,128.837
77.314992,127.681
77.321994,133.475
77.321994,132.268
77.328653,137.72
77.328654,136.514
77.328654,135.307
77.328655,134.101
77.328655,132.894
77.328656,131.687
77.328656,130.48
77.328656,128.669
77.328707,127.513
77.328708,126.307
77.328708,125.1
77.334513,129.698
77.334514,128.491
77.334618,127.383
77.334619,126.182
77.334619,124.974
77.341267,130.416
77.341268,129.21
77.34157,128.304
77.341571,127.098
77.341571,125.891
77.341572,124.685
77.348177,130.082
77.348177,128.875
77.348178,127.665
77.348178,126.462
77.348179,125.256
77.361271,137.141
77.361272,135.934
77.361273,132.917
77.361273,131.709
77.361434,130.664
77.361435,129.458
77.361435,128.249
77.361436,127.044
77.368332,132.734
77.374646,137.839
77.374647,136.634
77.374648,135.427
77.374648,134.22
77.374649,133.013
77.374692,131.85
77.374693,130.644
77.374693,129.436
77.374713,128.25
77.382265,134.594
77.382266,133.387
77.382267,132.182
77.388339,137.046
77.38834,135.84
77.38834,134.029
77.388341,132.824
77.388341,131.616
77.388341,130.409
77.388342,129.203
77.388342,127.996
77.388399,126.845
77.388399,125.638
77.394606,130.638
77.394607,129.431
77.394607,128.225
77.394608,127.018
77.394608,125.811
77.39465,124.646
77.401236,130.024
77.401237,128.819
77.401374,127.748
77.401469,126.636
77.401469,125.429
77.40147,124.222
77.408067,129.612
77.408068,128.406
77.408069,126.596
77.408069,125.389
77.421348,137.461
77.421349,136.255
77.421384,135.082
77.421441,133.932
77.421442,132.727
77.421442,131.519
77.421443,130.313
77.421443,129.106
77.421463,127.918
77.42796,133.208
77.427961,132.002
77.427994,130.827
77.434464,136.091
77.434465,134.885
77.434465,133.677
77.434465,132.469
77.434466,131.258
77.441322,136.913
77.441323,135.706
77.441324,134.5
77.441324,132.689
77.441324,131.482
77.441325,130.276
77.441325,129.069
77.441326,127.863
77.441379,126.709
77.441379,125.501
77.448104,131.019
77.448105,129.813
77.448105,128.606
77.448106,127.399
77.454593,132.679
77.454594,131.474
77.454594,130.266
77.454595,129.059
77.461388,129.817
77.461389,128.61
77.461389,127.403
77.46139,125.593
77.461433,124.428
77.467969,129.758
77.46797,128.552
77.467971,127.345
77.467971,126.138
77.468013,124.974
77.474626,130.379
77.474627,129.173
77.474627,127.966
77.474627,126.759
77.474628,125.551
77.474628,124.345
77.481223,129.733
77.481224,128.526
77.481225,127.32
77.481225,126.112
77.481266,124.947
77.494768,137.242
77.494769,136.036
77.49477,134.829
77.49477,133.622
77.49477,131.811
77.494771,130.606
77.494771,129.397
77.494772,128.192
77.501301,133.514
77.501302,132.307
77.501303,131.101
77.507945,136.536
77.507946,135.33
77.507946,134.122
77.507947,132.916
77.514682,138.445
77.514683,137.238
77.514683,136.031
77.514683,134.824
77.514684,133.617
77.514684,132.41
77.514685,131.204
77.514685,129.997
77.514729,128.834
77.514729,127.627
77.521275,132.965
77.521275,131.154
77.521276,129.948
77.521276,128.741
77.521277,127.534
77.521277,126.327
77.52786,131.704
77.52786,130.496
77.527861,129.29
77.527861,128.083
77.527862,126.87
77.527862,125.67
77.527907,124.507
77.53465,130.042
77.534651,128.837
77.534652,127.631
77.534652,126.423
77.534652,125.217
77.534653,124.01
77.541431,129.581
77.541432,128.374
77.541433,127.169
77.541433,125.961
77.541473,124.19
77.548166,129.676
77.548167,128.47
77.548168,127.264
77.548168,126.056
77.548211,124.892
77.554661,130.135
77.554662,128.929
77.554662,127.722
77.554663,126.516
77.554663,125.308
77.554706,124.144
77.568019,136.25
77.56802,135.043
77.56802,133.836
77.568021,132.63
77.568021,131.423
77.568022,130.217
77.568022,129.01
77.568023,127.804
77.568073,126.646
77.574688,132.054
77.574689,130.244
77.574689,129.037
77.57469,127.832
77.57469,126.624
77.574691,125.417
77.574691,124.21
77.587942,136.255
77.587943,135.047
77.587943,133.841
77.587943,132.634
77.587944,131.427
77.587944,130.22
77.587945,129.014
77.587945,127.807
77.587994,126.648
77.595315,132.762
77.595316,131.556
77.595317,130.349
77.595317,129.143
77.595317,127.935
77.595363,126.774
77.595363,125.567
77.601316,129.709
77.601317,128.503
77.601318,127.297
77.601318,126.09
77.601318,124.883
77.621563,143.92
77.628609,149.759
77.62861,148.553
77.628611,147.346
77.628611,146.14
77.628653,144.974
77.635236,150.35
77.635237,149.144
77.635238,147.937
77.635238,146.725
77.635238,145.523
77.635239,144.317
77.635239,143.11
77.63524,141.904
77.635295,140.752
77.635296,139.545
77.635297,138.339
77.635297,136.524
77.635297,135.321
77.635298,134.115
77.635298,132.908
77.635298,131.701
77.635329,130.525
77.635329,129.317
77.63533,128.112
77.63533,126.903
77.63533,125.696
77.641962,131.122
77.641963,129.915
77.641964,128.709
77.642094,127.631
77.642094,126.425
77.642095,125.218
77.654776,136.692
77.654777,135.486
77.661432,140.934
77.661433,139.728
77.661433,138.52
77.661434,137.314
77.661434,135.503
77.661435,134.297
77.661435,133.09
77.661435,131.883
77.661489,130.73
77.66149,129.523
77.667726,134.552
77.667727,133.346
77.667727,132.139
77.667727,130.932
77.674996,136.993
77.674997,135.788
77.674997,134.58
77.674998,133.373
77.674998,132.166
77.674999,130.96
77.674999,129.753
77.675,128.547
77.675049,127.389
77.681069,132.201
77.681069,130.994
77.688526,137.244
77.688527,135.434
77.688528,134.228
77.688528,133.021
77.688528,131.813
77.688529,130.608
77.68865,129.521
77.68865,128.314
77.688651,127.108
77.688831,126.081
77.702009,138.051
77.70201,136.846
77.70868,142.309
77.708712,141.133
77.708713,139.927
77.708713,138.72
77.708713,137.513
77.708714,136.307
77.70874,135.124
77.70874,133.917
77.708741,132.712
77.708788,131.552
77.714634,136.19
77.714635,134.381
77.714635,133.173
77.714636,131.967
77.714636,130.76
77.714636,129.552
77.714637,128.346
77.714637,127.139
77.7147,125.994
77.7147,124.787
77.721353,130.234
77.721413,129.087
77.721413,127.879
77.721414,126.673
77.721414,125.466
77.721415,124.255
77.734546,136.183
77.734547,134.977
77.734548,133.771
77.734776,132.792
77.734777,131.586
77.734777,130.378
77.734778,129.172
77.741156,133.739
77.741156,132.532
77.741157,131.326
77.748598,137.56
77.748599,136.354
77.748599,135.146
77.7486,133.94
77.7486,132.733
77.748633,131.559
77.748658,130.377
77.748658,129.169
77.748659,127.963
77.748659,126.756
77.74866,125.55
77.762,137.683
77.762,136.475
77.768065,141.333
77.768066,140.127
77.768066,138.919
77.768066,137.713
77.768108,136.548
77.768184,135.416
77.768185,133.606
77.768185,132.4
77.768186,131.192
77.768186,129.986
77.774591,135.184
77.774592,133.977
77.774592,132.77
77.774593,131.564
77.774593,130.356
77.774593,129.09
77.774594,127.885
77.774594,126.613
77.774654,125.349
77.774654,124.142
77.781252,129.532
77.781455,128.424
77.781456,127.218
77.781456,125.9
77.787974,131.212
77.787975,130.005
77.787975,128.799
77.787975,127.591
77.787976,125.781
77.788025,124.623
77.794737,130.128
77.794738,128.921
77.794739,127.715
77.794739,126.508
77.794739,125.3
77.80887,138.225
77.80887,137.018
77.808871,135.812
77.821858,147.591
77.821859,146.385
77.821859,145.178
77.82186,143.971
77.82186,142.764
77.821861,141.558
77.821861,140.35
77.821861,139.144
77.821916,137.991
77.821916,136.784
77.821917,135.578
77.821917,134.37
77.827951,138.593
77.827952,137.388
77.827952,136.181
